"","Progressive.passes.per.90","Deep.completed.crosses.acc...","Deep.completed.crosses.per.90","Deep.completed.passes.acc...","Deep.completed.passes.per.90","Thru.passes.acc...","Thru.passes.per.90","Passes.to.penalty.area.acc...","Passes.to.penalty.area.per.90","Final.3rd.passes.acc...","Final.3rd.passes.per.90","Key.passes.per.90","Smt.passes.acc...","Smt.passes.per.90","Third.assists.per.90","Second.assists.per.90","Avg.lng.pass.length..m","Avg.pass.length..m","Lng.passes.acc...","Lng.passes.per.90","Lat.passes.acc...","Lat.passes.per.90","Back.passes.acc...","Back.passes.per.90","Fwd.passes.acc...","Fwd.passes.per.90","Passes.acc...","Passes.per.90","Red.cards.per.90","Red.cards","Yellow.cards.per.90","Yellow.cards","Fouls.per.90","Interceptions.per.opp.30","Interceptions.per.90","Shots.blocked.per.90","Tackles.per.opp.30","Tackle.succ...","Tackles.per.90","Aerial.duels.won..","Aerial.duels.per.90","Def.duels.won..","Def.duels.per.90","Succ..def..per.90","Progressive.runs.per.90","Touches.in.box.per.90","Dribbles.succ...","Dribbles.per.90","Crosses...","Crosses.per.90","xA.per.90","xA","Assists.per.90","Assists","Goal.conv....","Shots.on.target..","Shots.per.90","Shots.total","Head.goals.per.90","Head.goals.total","xG.per.90","Non.penalty.goals.per.90","Non.penalty.goals","Goals.per.90","Goals.total.1","Succ..att..actions","xG","total_passes_closeness","total_passes_betw","total_passes_pagerank","total_passes_transitivity","forward_passes_closeness","forward_passes_betw","forward_passes_pagerank","forward_passes_transitivity","back_passes_closeness","back_passes_betw","back_passes_pagerank","back_passes_transitivity","long_passes_closeness","long_passes_betw","long_passes_pagerank","long_passes_transitivity","final_3rd_passes_closeness","final_3rd_passes_betw","final_3rd_passes_pagerank","final_3rd_passes_transitivity","progressive_passes_closeness","progressive_passes_betw","progressive_passes_pagerank","progressive_passes_transitivity"
"11",0.5,0.725,0.166666666666667,0.775,0.3,0.3,0.216666666666667,0.458333333333333,0.308333333333333,0.675,0.5,0.133333333333333,0.425,0.133333333333333,0.025,0.0333333333333333,0.9,0.8,0.625,0.6,0.958333333333333,0.075,0.0416666666666667,0,0.708333333333333,0.366666666666667,0.825,0.191666666666667,0,0,0.00833333333333333,0.075,0,0.1,0.1,0.0166666666666667,0,0,0,0.908333333333333,0,0.5,0,0.108333333333333,0.25,0.183333333333333,0.541666666666667,0.133333333333333,0.341666666666667,0.175,0.0916666666666667,0.116666666666667,0.0416666666666667,0.0416666666666667,0.0666666666666667,0.258333333333333,0.216666666666667,0.2,0.0416666666666667,0.075,0.0833333333333333,0.0666666666666667,0.0833333333333333,0.0666666666666667,0.0916666666666667,0.158333333333333,0.0916666666666667,0.9,0.458333333333333,0.891666666666667,0.441666666666667,0.9,0.541666666666667,0.666666666666667,0.408333333333333,0.941666666666667,0.458333333333333,0.525,0.45,0.816666666666667,0.391666666666667,0.55,0.591666666666667,0.933333333333333,0.558333333333333,0.666666666666667,0.491666666666667,0.85,0.433333333333333,0.675,0.433333333333333
"12",0.415384615384615,0.653846153846154,0.138461538461538,0.176923076923077,0.0923076923076923,0.0923076923076923,0.107692307692308,0.284615384615385,0.215384615384615,0.623076923076923,0.307692307692308,0.2,0.0153846153846154,0.0923076923076923,0.0923076923076923,0.1,0.446153846153846,0.292307692307692,0.453846153846154,0.238461538461538,0.8,0.153846153846154,0.892307692307693,0.461538461538462,0.638461538461538,0.338461538461539,0.823076923076923,0.376923076923077,0.0384615384615385,0.115384615384615,0.0923076923076923,0.146153846153846,0.315384615384615,0.223076923076923,0.276923076923077,0.107692307692308,0.130769230769231,0.238461538461538,0.123076923076923,0.453846153846154,0.215384615384615,0.592307692307692,0.476923076923077,0.407692307692308,0.215384615384615,0.115384615384615,0.523076923076923,0.153846153846154,0.238461538461539,0.192307692307692,0.0692307692307692,0.0307692307692308,0.115384615384615,0.0230769230769231,0,0.0615384615384615,0.1,0.0230769230769231,0,0,0.00769230769230769,0,0,0,0,0.138461538461538,0,0.630769230769231,0.238461538461539,0.707692307692308,0.215384615384615,0.530769230769231,0.115384615384615,0.215384615384615,0.469230769230769,0.684615384615385,0.169230769230769,0.253846153846154,0.530769230769231,0.438461538461539,0.0615384615384615,0.176923076923077,0.415384615384615,0.430769230769231,0.130769230769231,0.215384615384615,0.430769230769231,0.407692307692308,0.123076923076923,0.3,0.369230769230769
"13",0.470588235294118,0.635294117647059,0.135294117647059,0.594117647058824,0.211764705882353,0.241176470588235,0.117647058823529,0.452941176470588,0.211764705882353,0.570588235294118,0.376470588235294,0.0647058823529412,0.217647058823529,0.0647058823529412,0,0.0176470588235294,0.894117647058824,0.835294117647059,0.641176470588235,0.588235294117647,0.964705882352941,0.0647058823529412,0.0588235294117647,0,0.741176470588235,0.347058823529412,0.858823529411765,0.176470588235294,0.00588235294117647,0.0294117647058824,0.0235294117647059,0.129411764705882,0,0.105882352941176,0.129411764705882,0.00588235294117647,0,0.0588235294117647,0,0.864705882352941,0.00588235294117647,0.364705882352941,0,0.123529411764706,0.164705882352941,0.164705882352941,0.6,0.123529411764706,0.347058823529412,0.135294117647059,0.0882352941176471,0.0235294117647059,0.1,0.0235294117647059,0.0117647058823529,0.217647058823529,0.170588235294118,0.0705882352941176,0,0,0.1,0.0117647058823529,0.0117647058823529,0.0117647058823529,0.0117647058823529,0.158823529411765,0.0352941176470588,0.682352941176471,0.170588235294118,0.711764705882353,0.317647058823529,0.61764705882353,0.0941176470588235,0.405882352941176,0.6,0.658823529411765,0.123529411764706,0.2,0.476470588235294,0.664705882352941,0.164705882352941,0.323529411764706,0.588235294117647,0.635294117647059,0.0529411764705882,0.405882352941176,0.576470588235294,0.558823529411765,0.0823529411764706,0.435294117647059,0.541176470588235
"14",0.317391304347826,0.852173913043478,0.265217391304348,0.895652173913044,0.48695652173913,0.321739130434783,0.304347826086957,0.48695652173913,0.478260869565217,0.6,0.317391304347826,0.373913043478261,0.382608695652174,0.3,0.0739130434782609,0.126086956521739,0.491304347826087,0.321739130434783,0.478260869565217,0.273913043478261,0.782608695652174,0.169565217391304,0.904347826086956,0.447826086956522,0.634782608695652,0.347826086956522,0.8,0.378260869565217,0.0173913043478261,0.0652173913043478,0.0956521739130435,0.243478260869565,0.369565217391304,0.260869565217391,0.295652173913043,0.108695652173913,0.169565217391304,0.21304347826087,0.156521739130435,0.443478260869565,0.221739130434783,0.556521739130435,0.473913043478261,0.439130434782609,0.317391304347826,0.456521739130435,0.521739130434782,0.330434782608696,0.317391304347826,0.326086956521739,0.4,0.508695652173913,0.217391304347826,0.317391304347826,0.104347826086957,0.339130434782609,0.517391304347826,0.478260869565217,0.0521739130434783,0.0826086956521739,0.256521739130435,0.239130434782609,0.239130434782609,0.256521739130435,0.308695652173913,0.4,0.321739130434783,0.930434782608696,0.726086956521739,0.847826086956522,0.11304347826087,0.926086956521739,0.608695652173913,0.434782608695652,0.160869565217391,0.869565217391304,0.469565217391304,0.773913043478261,0.373913043478261,0.882608695652174,0.504347826086956,0.4,0.4,0.904347826086957,0.565217391304348,0.469565217391304,0.339130434782609,0.91304347826087,0.752173913043478,0.582608695652174,0.169565217391304
"15",0.473684210526316,0.926315789473684,0.405263157894737,0.863157894736842,0.363157894736842,0.405263157894737,0.178947368421053,0.5,0.536842105263158,0.657894736842105,0.363157894736842,0.294736842105263,0.457894736842105,0.178947368421053,0.0263157894736842,0.0894736842105263,0.405263157894737,0.284210526315789,0.552631578947368,0.142105263157895,0.815789473684211,0.152631578947368,0.9,0.547368421052632,0.684210526315789,0.263157894736842,0.852631578947369,0.352631578947369,0.0263157894736842,0.0789473684210526,0.0789473684210526,0.194736842105263,0.242105263157895,0.226315789473684,0.263157894736842,0.0631578947368421,0.126315789473684,0.205263157894737,0.115789473684211,0.347368421052632,0.157894736842105,0.563157894736842,0.4,0.347368421052632,0.352631578947368,0.215789473684211,0.531578947368421,0.226315789473684,0.394736842105263,0.421052631578947,0.268421052631579,0.342105263157895,0.115789473684211,0.173684210526316,0.0736842105263158,0.342105263157895,0.189473684210526,0.178947368421053,0.0263157894736842,0.0421052631578947,0.0631578947368421,0.0631578947368421,0.0789473684210526,0.0526315789473684,0.0789473684210526,0.310526315789474,0.0894736842105263,0.868421052631579,0.563157894736842,0.905263157894737,0.115789473684211,0.821052631578948,0.478947368421053,0.452631578947368,0.205263157894737,0.915789473684211,0.568421052631579,0.615789473684211,0.368421052631579,0.905263157894737,0.736842105263158,0.589473684210526,0.221052631578947,0.905263157894737,0.631578947368421,0.526315789473684,0.278947368421053,0.826315789473684,0.468421052631579,0.573684210526316,0.268421052631579
"16",0.521052631578947,0.923684210526316,0.202631578947368,0.842105263157895,0.260526315789474,0.273684210526316,0.171052631578947,0.489473684210526,0.33421052631579,0.681578947368421,0.478947368421053,0.171052631578947,0.428947368421053,0.0973684210526316,0.0421052631578947,0.0526315789473684,0.613157894736842,0.373684210526316,0.526315789473684,0.418421052631579,0.855263157894737,0.202631578947368,0.939473684210526,0.33421052631579,0.7,0.507894736842105,0.852631578947368,0.45,0.0131578947368421,0.0394736842105263,0.105263157894737,0.305263157894737,0.255263157894737,0.360526315789474,0.410526315789474,0.213157894736842,0.163157894736842,0.281578947368421,0.147368421052632,0.552631578947368,0.236842105263158,0.639473684210526,0.471052631578947,0.534210526315789,0.234210526315789,0.113157894736842,0.557894736842105,0.134210526315789,0.423684210526316,0.207894736842105,0.189473684210526,0.218421052631579,0.126315789473684,0.118421052631579,0.0552631578947368,0.255263157894737,0.173684210526316,0.15,0.0263157894736842,0.0526315789473684,0.0394736842105263,0.0631578947368421,0.0657894736842105,0.0526315789473684,0.068421052631579,0.176315789473684,0.0605263157894737,0.847368421052631,0.415789473684211,0.871052631578947,0.260526315789474,0.78421052631579,0.313157894736842,0.457894736842105,0.447368421052632,0.892105263157895,0.486842105263158,0.481578947368421,0.339473684210526,0.744736842105263,0.328947368421053,0.573684210526316,0.471052631578947,0.771052631578947,0.276315789473684,0.594736842105263,0.536842105263158,0.763157894736842,0.271052631578947,0.605263157894737,0.468421052631579
"17",0.572,0.976,0.044,0.572,0.172,0.208,0.112,0.428,0.148,0.632,0.48,0.044,0.248,0.032,0.04,0.036,0.612,0.4,0.544,0.432,0.864,0.2,0.936,0.248,0.684,0.476,0.856,0.396,0.044,0.14,0.104,0.316,0.264,0.392,0.448,0.292,0.216,0.324,0.2,0.568,0.252,0.624,0.484,0.616,0.168,0.112,0.664,0.032,0.608,0.048,0.056,0.064,0.04,0.04,0.1,0.336,0.152,0.124,0.044,0.1,0.076,0.064,0.068,0.052,0.068,0.076,0.088,0.86,0.336,0.9,0.356,0.788,0.192,0.684,0.652,0.856,0.252,0.176,0.44,0.764,0.264,0.648,0.564,0.768,0.152,0.596,0.652,0.696,0.252,0.812,0.536
"18",0.534615384615384,0.9,0.15,0.8,0.303846153846154,0.292307692307692,0.226923076923077,0.430769230769231,0.3,0.680769230769231,0.484615384615385,0.157692307692308,0.365384615384615,0.115384615384615,0.0615384615384615,0.0115384615384615,0.234615384615385,0.273076923076923,0.284615384615385,0.0730769230769231,0.692307692307692,0.0807692307692308,0.873076923076923,0.334615384615385,0.565384615384615,0.165384615384615,0.742307692307692,0.207692307692308,0,0,0.134615384615385,0.153846153846154,0.384615384615385,0.134615384615385,0.153846153846154,0.0269230769230769,0.142307692307692,0.103846153846154,0.123076923076923,0.273076923076923,0.392307692307692,0.523076923076923,0.35,0.226923076923077,0.238461538461539,0.115384615384615,0.538461538461538,0.111538461538462,0.45,0.146153846153846,0.142307692307692,0.126923076923077,0.0538461538461538,0.0538461538461538,0.0346153846153846,0.176923076923077,0.161538461538462,0.119230769230769,0.0115384615384615,0.0153846153846154,0.0384615384615385,0.0346153846153846,0.0423076923076923,0.0346153846153846,0.0423076923076923,0.146153846153846,0.0423076923076923,0.811538461538461,0.403846153846154,0.880769230769231,0.280769230769231,0.811538461538462,0.238461538461538,0.530769230769231,0.496153846153846,0.846153846153846,0.338461538461538,0.357692307692308,0.35,0.757692307692308,0.230769230769231,0.453846153846154,0.546153846153846,0.726923076923077,0.169230769230769,0.534615384615385,0.530769230769231,0.692307692307692,0.173076923076923,0.546153846153846,0.465384615384615
"19",0.526923076923077,0.0192307692307692,0.00384615384615385,0.7,0.184615384615385,0.307692307692308,0.15,0.338461538461538,0.138461538461539,0.657692307692308,0.45,0.0538461538461539,0.211538461538462,0.0461538461538462,0.0576923076923077,0.00769230769230769,0.569230769230769,0.353846153846154,0.523076923076923,0.365384615384615,0.853846153846154,0.203846153846154,0.934615384615385,0.357692307692308,0.661538461538461,0.457692307692308,0.853846153846154,0.423076923076923,0.0269230769230769,0.0769230769230769,0.115384615384615,0.315384615384615,0.288461538461538,0.338461538461538,0.384615384615385,0.146153846153846,0.192307692307692,0.384615384615385,0.176923076923077,0.5,0.253846153846154,0.569230769230769,0.442307692307692,0.519230769230769,0.207692307692308,0.107692307692308,0.653846153846154,0.0615384615384615,0.0192307692307692,0.0115384615384615,0.0346153846153846,0.0230769230769231,0.0153846153846154,0.0153846153846154,0.0807692307692308,0.211538461538462,0.126923076923077,0.0846153846153846,0.0230769230769231,0.0538461538461538,0.0576923076923077,0.0538461538461538,0.0461538461538461,0.0576923076923077,0.0576923076923077,0.0692307692307692,0.0576923076923077,0.811538461538462,0.334615384615385,0.873076923076923,0.292307692307692,0.776923076923077,0.242307692307692,0.592307692307692,0.623076923076923,0.826923076923077,0.276923076923077,0.269230769230769,0.469230769230769,0.707692307692308,0.226923076923077,0.519230769230769,0.623076923076923,0.703846153846154,0.0961538461538462,0.553846153846154,0.673076923076923,0.646153846153846,0.169230769230769,0.669230769230769,0.615384615384615
"20",0.123529411764706,0.823529411764706,0.0941176470588235,0.911764705882353,0.405882352941176,0.3,0.164705882352941,0.5,0.241176470588235,0.570588235294118,0.129411764705882,0.258823529411765,0.329411764705882,0.205882352941176,0.0235294117647059,0.1,0.476470588235294,0.347058823529412,0.552941176470588,0.235294117647059,0.758823529411765,0.123529411764706,0.9,0.358823529411765,0.623529411764706,0.294117647058824,0.8,0.3,0.0411764705882353,0.117647058823529,0.0823529411764706,0.288235294117647,0.323529411764706,0.205882352941176,0.217647058823529,0.1,0.0882352941176471,0.447058823529412,0.0823529411764706,0.452941176470588,0.364705882352941,0.523529411764706,0.305882352941176,0.305882352941176,0.264705882352941,0.717647058823529,0.482352941176471,0.3,0.270588235294118,0.141176470588235,0.188235294117647,0.258823529411765,0.1,0.135294117647059,0.217647058823529,0.441176470588235,0.629411764705882,0.570588235294118,0.182352941176471,0.370588235294118,0.511764705882353,0.582352941176471,0.61764705882353,0.576470588235294,0.641176470588235,0.352941176470588,0.629411764705882,0.835294117647059,0.252941176470588,0.676470588235294,0.147058823529412,0.870588235294118,0.264705882352941,0.247058823529412,0.305882352941177,0.723529411764706,0.229411764705882,0.694117647058824,0.582352941176471,0.835294117647059,0.294117647058824,0.152941176470588,0.452941176470588,0.935294117647059,0.441176470588235,0.241176470588235,0.323529411764706,0.929411764705882,0.382352941176471,0.317647058823529,0.305882352941176
